NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,ATM_CE_AND_PE,2023-12-28,2023-12-27,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,Symbol
NIFTY,NIFTY24JANFUT,50,21914.4,3.0208447413572808,33100.0,662,658,701.5999999999999,672.05,660.35,657.95,698.7,698.6,693.35,NIFTY24JANFUT
BANKNIFTY,BANKNIFTY24JANFUT,15,48665.55,3.369940337672131,24600.0,1640,1644,1742.0500000000002,1671.6,1733.0,1728.75,1773.95,1792.9,1773.0500000000002,BANKNIFTY24JANFUT
AARTIIND,AARTIIND24JANFUT,1000,657.25,9.281095473564092,61000.0,61,61,67.4,61.6,31.25,54.900000000000006,51.65,182.85,159.65,AARTIIND24JANFUT
ABB,ABB24JANFUT,125,4723.25,6.923199068438047,40875.0,327,327,344.6,328.0,244.7,850.9499999999999,213.5,1202.5,1218.55,ABB24JANFUT
ABBOTINDIA,ABBOTINDIA24JANFUT,40,22800.6,2.969220108242766,27080.0,677,681,2189.3,2189.3,2189.3,1150.0,2184.6,2263.6,1259.35,ABBOTINDIA24JANFUT
ABCAPITAL,ABCAPITAL24JANFUT,5400,167.65,7.754249925439904,70200.0,13,13,14.65,12.75,13.45,14.15,28.3,26.5,26.5,ABCAPITAL24JANFUT
ABFRL,ABFRL24JANFUT,2600,226.0,7.52212389380531,44200.0,17,17,18.95,28.75,19.65,19.8,20.75,39.95,40.3,ABFRL24JANFUT
ACC,ACC24JANFUT,300,2213.55,6.957150278963656,46200.0,154,153,185.3,145.60000000000002,325.1,321.4,168.7,365.6,391.1,ACC24JANFUT
ADANIENT,ADANIENT24JANFUT,300,2879.0,11.462313303230289,99000.0,330,323,344.95,351.05,349.4,412.2,422.4,466.9,477.65,ADANIENT24JANFUT
ADANIPORTS,ADANIPORTS24JANFUT,800,1035.15,8.307974689658502,68800.0,86,86,96.3,99.6,110.5,115.9,113.8,122.7,125.05,ADANIPORTS24JANFUT
ALKEM,ALKEM24JANFUT,200,5168.55,6.094552630815218,63000.0,315,315,1526.05,320.05,1304.0,177.8,116.2,177.8,177.8,ALKEM24JANFUT
AMBUJACEM,AMBUJACEM24JANFUT,1800,526.15,7.60239475434762,72000.0,40,40,48.7,44.6,48.75,49.3,98.2,57.25,51.55,AMBUJACEM24JANFUT
APOLLOHOSP,APOLLOHOSP24JANFUT,125,5772.5,7.171935902988307,51750.0,414,415,1157.45,1116.0,431.8,976.9,801.25,424.1,992.1,APOLLOHOSP24JANFUT
APOLLOTYRE,APOLLOTYRE24JANFUT,1700,454.5,7.700770077007702,59500.0,35,35,35.400000000000006,32.2,32.3,84.55,73.6,87.1,87.1,APOLLOTYRE24JANFUT
ASHOKLEY,ASHOKLEY24JANFUT,5000,182.95,7.65236403388904,70000.0,14,14,13.85,21.15,17.05,22.0,22.1,,,ASHOKLEY24JANFUT
ASIANPAINT,ASIANPAINT24JANFUT,200,3441.0,5.463528044173206,37600.0,188,188,193.9,132.3,490.85,473.65,395.05,419.75,419.75,ASIANPAINT24JANFUT
ASTRAL,ASTRAL24JANFUT,367,1915.6,6.368761745667154,44774.0,122,125,145.05,274.35,292.0,152.0,263.15,273.85,287.85,ASTRAL24JANFUT
ATUL,ATUL24JANFUT,75,7155.85,5.198543848739144,27900.0,372,372,969.25,996.95,969.25,366.8,870.5,996.95,969.25,ATUL24JANFUT
AUBANK,AUBANK24JANFUT,1000,784.2,8.288701861769956,65000.0,65,66,70.1,72.15,72.4,76.8,67.0,60.25,62.85,AUBANK24JANFUT
