ATM_CE_AND_PE,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,2023-12-15,Symbol
118,NIFTY,NIFTY23DECFUT,50,21687,0.5441047632222068,5900.0,263,242.75,278.1,303.15,301.6,329.9,359.4,NIFTY23DECFUT
304,BANKNIFTY,BANKNIFTY23DECFUT,15,48355.3,0.6286797931147154,4560.0,622,644.9000000000001,736.05,786.6,761.45,869.75,910.7,BANKNIFTY23DECFUT
8,AARTIIND,AARTIIND23DECFUT,1000,644,1.2422360248447204,8000.0,9,16.75,22.4,27.05,30.6,34.1,34.25,AARTIIND23DECFUT
24,ABB,ABB23DECFUT,125,4741.05,0.5062169772518746,3000.0,66,120.6,147.45,206.45,232.15,255.15,273.1,ABB23DECFUT
115,ABBOTINDIA,ABBOTINDIA23DECFUT,40,22581.1,0.5092754560229572,4600.0,115,302.4,377.25,2232.25,499.0,580.0,1491.5,ABBOTINDIA23DECFUT
2,ABCAPITAL,ABCAPITAL23DECFUT,5400,161.8,1.2360939431396787,10800.0,3,3.9,5.0,7.85,7.449999999999999,8.9,8.0,ABCAPITAL23DECFUT
4,ABFRL,ABFRL23DECFUT,2600,219.55,1.8219084491004327,10400.0,4,5.6,8.15,10.4,12.0,13.5,13.9,ABFRL23DECFUT
23,ACC,ACC23DECFUT,300,2161.8,1.0639282079748358,6900.0,40,46.75,65.6,216.0,94.75,105.6,113.95,ACC23DECFUT
51,ADANIENT,ADANIENT23DECFUT,300,2842.4,1.7942583732057416,15300.0,51,88.35,130.05,172.75,217.35,250.6,268.65,ADANIENT23DECFUT
9,ADANIPORTS,ADANIPORTS23DECFUT,800,1022.1,0.8805400645729381,7200.0,11,26.6,37.95,52.400000000000006,59.65,66.9,72.65,ADANIPORTS23DECFUT
22,ALKEM,ALKEM23DECFUT,200,5088.25,0.43236869257603305,4400.0,88,126.1,169.75,175.89999999999998,206.2,222.9,229.45,ALKEM23DECFUT
7,AMBUJACEM,AMBUJACEM23DECFUT,1800,516.05,1.3564577075864743,12600.0,13,13.95,20.25,24.9,23.7,26.95,27.2,AMBUJACEM23DECFUT
47,APOLLOHOSP,APOLLOHOSP23DECFUT,125,5673.2,0.828456602975393,5875.0,47,120.9,155.55,180.1,218.05,194.75,194.2,APOLLOHOSP23DECFUT
3,APOLLOTYRE,APOLLOTYRE23DECFUT,1700,436.5,0.6872852233676976,5100.0,6,11.25,16.05,22.15,25.15,25.8,26.25,APOLLOTYRE23DECFUT
1,ASHOKLEY,ASHOKLEY23DECFUT,5000,173.9,0.5750431282346176,5000.0,1,4.25,4.25,7.8,7.0,7.45,7.6,ASHOKLEY23DECFUT
23,ASIANPAINT,ASIANPAINT23DECFUT,200,3398.3,0.67680899273166,4600.0,32,49.8,60.05,74.15,92.7,104.3,105.8,ASIANPAINT23DECFUT
18,ASTRAL,ASTRAL23DECFUT,367,1910.45,0.9421863958753173,6606.0,18,52.55,73.05,141.75,89.85,97.5,103.4,ASTRAL23DECFUT
39,ATUL,ATUL23DECFUT,75,7008.3,0.5564830272676683,2925.0,1,161.7,199.8,233.05,296.6,847.4000000000001,316.15,ATUL23DECFUT
8,AUBANK,AUBANK23DECFUT,1000,772.35,1.0357998316825272,8000.0,8,23.950000000000003,31.7,32.15,30.65,32.599999999999994,36.05,AUBANK23DECFUT
14,AUROPHARMA,AUROPHARMA23DECFUT,1100,1067.95,1.3109227960110492,15400.0,14,34.25,49.150000000000006,42.45,52.95,55.6,52.85,AUROPHARMA23DECFUT
13,AXISBANK,AXISBANK23DECFUT,625,1106.3,1.1750881316098707,8125.0,13,24.950000000000003,30.3,34.650000000000006,34.3,37.8,38.55,AXISBANK23DECFUT
54,BAJAJ-AUTO,BAJAJ-AUTO23DECFUT,125,6680,0.8083832335329342,6750.0,223,126.85,163.2,178.65,204.75,239.3,219.8,BAJAJ-AUTO23DECFUT
8,BAJAJFINSV,BAJAJFINSV23DECFUT,500,1671.7,0.4785547646108752,4000.0,33,37.85,42.35,50.400000000000006,55.8,60.2,63.2,BAJAJFINSV23DECFUT
78,BAJFINANCE,BAJFINANCE23DECFUT,125,7254,1.0752688172043012,9750.0,119,203.25,173.6,189.85,223.85,254.5,256.9,BAJFINANCE23DECFUT
5,BALKRISIND,BALKRISIND23DECFUT,300,2527.15,0.19785133450725126,1500.0,5,58.6,79.2,105.0,114.35,215.7,127.0,BALKRISIND23DECFUT
0,BALRAMCHIN,BALRAMCHIN23DECFUT,1600,396.5,0.0,0.0,2,18.15,24.95,84.75,85.5,29.85,90.0,BALRAMCHIN23DECFUT
2,BANDHANBNK,BANDHANBNK23DECFUT,2500,237.75,0.8412197686645636,5000.0,3,6.449999999999999,9.35,10.65,12.0,13.35,14.2,BANDHANBNK23DECFUT
2,BANKBARODA,BANKBARODA23DECFUT,2925,232.25,0.8611410118406888,5850.0,7,6.2,8.1,8.850000000000001,9.9,10.75,11.55,BANKBARODA23DECFUT
12,BATAINDIA,BATAINDIA23DECFUT,375,1641.8,0.7309051041539774,4500.0,19,39.2,50.0,63.95,54.3,60.4,60.85,BATAINDIA23DECFUT
1,BEL,BEL23DECFUT,5700,180.35,0.5544774050457444,5700.0,2,5.5,6.3,7.1,8.399999999999999,9.7,9.45,BEL23DECFUT
5,BERGEPAINT,BERGEPAINT23DECFUT,1320,585.9,0.8533879501621439,6600.0,6,13.55,16.45,21.05,24.65,26.45,25.75,BERGEPAINT23DECFUT
6,BHARATFORG,BHARATFORG23DECFUT,500,1217.75,0.49271196879490864,3000.0,9,30.9,37.25,46.8,55.9,57.8,54.35,BHARATFORG23DECFUT
7,BHARTIARTL,BHARTIARTL23DECFUT,950,1016.55,0.6886036102503567,6650.0,17,17.25,21.95,27.85,32.150000000000006,39.7,33.2,BHARTIARTL23DECFUT
3,BHEL,BHEL23DECFUT,5250,181.5,1.6528925619834711,15750.0,3,7.949999999999999,9.9,11.7,13.0,14.85,14.2,BHEL23DECFUT
2,BIOCON,BIOCON23DECFUT,2500,252.9,0.7908264136022143,5000.0,2,6.75,8.2,9.6,10.8,12.15,12.1,BIOCON23DECFUT
91,BOSCHLTD,BOSCHLTD23DECFUT,50,21938.95,0.4147873986676664,4550.0,91,877.4,877.4,690.4,747.25,3105.4,2859.15,BOSCHLTD23DECFUT
3,BPCL,BPCL23DECFUT,1800,454.2,0.6605019815059445,5400.0,4,10.55,13.25,15.45,18.75,19.450000000000003,20.700000000000003,BPCL23DECFUT
