,2023-12-27,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,Symbol,2023-12-28
0,119.7,111.8,62.95,44.7,69.9,119.7,115.7,ZYDUSLIFE24JANFUT,46
1,30.6,32.1,34.6,57.05,30.05,58.25,63.2,ZEEL24JANFUT,35
2,42.3,30.55,42.85,60.85,73.95,87.8,41.55,WIPRO24JANFUT,39
3,80.9,82.1,169.75,86.95,153.3,116.1,110.5,VOLTAS24JANFUT,71
4,,,24.85,,,28.7,,VEDL24JANFUT,21
5,41.650000000000006,42.75,68.65,68.65,67.3,77.44999999999999,82.85,UPL24JANFUT,38
6,2095.5,2033.5,1913.7,1913.7,1966.65,2033.5,630.85,ULTRACEMCO24JANFUT,590
7,101.3,225.0,112.8,197.7,85.15,197.7,197.7,UBL24JANFUT,122
8,147.64999999999998,151.6,144.7,145.60000000000002,132.65,152.35,149.0,TVSMOTOR24JANFUT,141
9,802.2,222.8,216.0,237.45,785.9,802.2,933.9,TRENT24JANFUT,203
10,380.55,470.55,349.95,335.3,295.15,321.35,295.15,TORNTPHARM24JANFUT,130
11,209.75,206.2,190.7,583.55,225.15,628.1,640.15,TITAN24JANFUT,196
12,96.2,99.45,225.9,91.0,111.55,246.0,109.15,TECHM24JANFUT,90
13,229.55,243.5,254.4,216.0,213.6,600.05,633.8,TCS24JANFUT,222
14,12.4,11.45,11.15,10.8,10.55,24.15,25.75,TATASTEEL24JANFUT,11
15,30.7,32.95,34.05,111.55,38.0,34.65,35.1,TATAPOWER24JANFUT,29
16,51.2,49.1,48.95,47.5,50.5,55.5,59.7,TATAMOTORS24JANFUT,65
17,153.8,66.75,59.0,136.0,121.2,115.85,112.45,TATACONSUM24JANFUT,61
18,131.3,141.85,134.1,134.45,145.05,163.45,365.65,TATACOMM24JANFUT,136
19,102.1,108.15,90.7,80.95,94.5,89.35,92.75,TATACHEM24JANFUT,96
20,58.25,68.4,68.4,87.3,87.3,68.4,68.4,SYNGENE24JANFUT,53
21,52.85,53.85,123.6,60.3,97.2,59.6,61.1,SUNTV24JANFUT,53
22,181.2,179.70000000000002,69.55,74.35,49.35,184.7,179.8,SUNPHARMA24JANFUT,65
23,192.05,498.3,394.6,356.15000000000003,192.7,131.7,125.7,SRF24JANFUT,163
24,332.75,655.5,372.85,312.5,587.0,655.5,464.75,SIEMENS24JANFUT,325
25,160.05,146.85,390.65,345.25,336.15,399.45,399.45,SHRIRAMFIN24JANFUT,138
26,1813.45,2175.15,3750.5,4347.45,4347.45,4661.85,4008.25,SHREECEM24JANFUT,1555
27,43.2,41.55,43.05,45.15,46.15,47.95,47.65,SBIN24JANFUT,41
28,76.1,156.5,156.5,160.5,160.5,187.2,180.1,SBILIFE24JANFUT,85
29,51.95,54.1,57.1,56.55,53.25,65.15,77.45,SBICARD24JANFUT,49
30,14.15,30.05,30.05,7.0,22.1,34.8,38.400000000000006,SAIL24JANFUT,14
31,129.9,133.64999999999998,137.60000000000002,143.2,137.05,147.95,137.95,RELIANCE24JANFUT,122
32,44.95,49.85,49.6,119.6,55.7,58.900000000000006,62.1,RECLTD24JANFUT,42
33,30.3,32.75,38.4,36.95,37.4,34.2,35.0,RBLBANK24JANFUT,31
34,127.4,70.5,96.35,71.15,87.5,127.4,125.35,RAMCOCEM24JANFUT,58
35,144.15,158.15,250.1,295.25,310.4,320.25,320.25,PVRINOX24JANFUT,129
36,17.049999999999997,17.15,16.950000000000003,18.55,20.55,21.9,44.75,POWERGRID24JANFUT,17
